0.002000	2
0.006000	10
0.022000	12
0.030000	32
0.038000	34
0.046000	39
0.062000	50
0.078000	54
0.086000	68
0.094000	81
0.110000	86
0.126000	93
0.128000	109
0.144000	117
0.145000	128
0.161000	141
0.169000	163
0.185000	186
0.201000	189
0.217000	205
0.219000	209
0.235000	214
0.243000	229
0.259000	239
0.275000	272
0.283000	276
0.299000	287
0.315000	295
0.331000	317
0.339000	323
0.355000	337
0.357000	369
0.373000	372
0.381000	395
0.397000	397
0.413000	408
0.429000	409
0.430000	421
0.446000	425
0.454000	430
0.455000	433
0.463000	456
0.479000	466
0.495000	467
0.496000	484
0.512000	498
0.528000	530
0.529000	531
0.545000	535
0.553000	544
0.561000	549
0.577000	565
0.593000	577
0.609000	584
0.617000	613
0.633000	615
0.649000	620
0.657000	625
0.673000	650
0.689000	679
0.691000	680
0.707000	707
0.723000	711
0.731000	728
0.739000	743
0.740000	747
0.756000	748
0.772000	749
0.773000	762
0.781000	766
0.797000	789
0.805000	791
0.821000	795
0.837000	813
0.853000	819
0.854000	842
0.870000	850
0.886000	856
0.887000	880
0.903000	887
0.919000	916
0.927000	920
0.943000	922
0.944000	931
0.960000	935
0.968000	937
0.984000	989
1.000000	990
